model,term,estimate,std_error,p_value,ci_lower,ci_upper,n,r_squared,adjusted_r_squared
model1_exposures,Intercept,12.878903701375522,0.02296677776416798,0.0,12.833889644116818,12.923917758634227,77125.0,0.03791508718057213,0.03787766216354094
model1_exposures,NO_AC_PE_centered,0.07039852385922603,0.0032500366974536443,4.803978336413418e-104,0.06402856898378338,0.07676847873466867,77125.0,0.03791508718057213,0.03787766216354094
model1_exposures,hot_days_90f_centered,0.027443116703031917,0.0006170583103234453,0.0,0.026233704638436824,0.02865252876762701,77125.0,0.03791508718057213,0.03787766216354094
model1_exposures,heat90_ac_interaction,0.0019948434565135015,8.378349795604521e-05,2.6625508494794383e-125,0.0018306308180208678,0.0021590560950061352,77125.0,0.03791508718057213,0.03787766216354094
model2_socioeconomic,Intercept,8.031633217568954,0.041414557600981304,0.0,7.950462176235371,8.112804258902537,77125.0,0.495207946846978,0.49516212628378087
model2_socioeconomic,NO_AC_PE_centered,0.014946776784568948,0.0025472827824565792,4.417923119866887e-09,0.009954194272515076,0.01993935929662282,77125.0,0.495207946846978,0.49516212628378087
model2_socioeconomic,hot_days_90f_centered,0.01470726896487223,0.0004963874357270713,6.398326088160731e-193,0.01373436746846898,0.01568017046127548,77125.0,0.495207946846978,0.49516212628378087
model2_socioeconomic,heat90_ac_interaction,0.0007126426427821106,6.340848932109979e-05,2.6258880832652055e-29,0.0005883642873986625,0.0008369209981655588,77125.0,0.495207946846978,0.49516212628378087
model2_socioeconomic,poverty_percent,0.26241609864632515,0.0025393787650593285,0.0,0.25743900772370304,0.26739318956894725,77125.0,0.495207946846978,0.49516212628378087
model2_socioeconomic,age65_percent,0.12413439206328404,0.0013648279226413668,0.0,0.12145937848981234,0.12680940563675575,77125.0,0.495207946846978,0.49516212628378087
model2_socioeconomic,renter_percent,-0.03793008481769529,0.0007022285092686472,0.0,-0.03930642740477909,-0.03655374223061149,77125.0,0.495207946846978,0.49516212628378087
model2_socioeconomic,no_vehicle_percent,0.022938421535473985,0.0018480768908122583,2.2482361511784652e-35,0.019316257388821197,0.026560585682126773,77125.0,0.495207946846978,0.49516212628378087
model3_full,Intercept,-1.6563131359485141,0.05143950791104963,1.8085841048506464e-227,-1.7571327188366346,-1.5554935530603937,77125.0,0.8524302644880517,0.8524111279193985
model3_full,NO_AC_PE_centered,0.03622771384188401,0.0013971188595934402,3.0332349038457273e-148,0.03348941119495919,0.038966016488808826,77125.0,0.8524302644880517,0.8524111279193985
model3_full,hot_days_90f_centered,0.011120902452613372,0.00027344051249827544,0.0,0.010584968896202578,0.011656836009024167,77125.0,0.8524302644880517,0.8524111279193985
model3_full,heat90_ac_interaction,0.0005499420942457179,3.386042358108835e-05,2.5681702991437413e-59,0.000483576883525514,0.0006163073049659218,77125.0,0.8524302644880517,0.8524111279193985
model3_full,poverty_percent,0.01897297503565999,0.001828534301333808,3.186681293200879e-25,0.015389113660549614,0.022556836410770362,77125.0,0.8524302644880517,0.8524111279193985
model3_full,age65_percent,0.10709142420101088,0.0008259213343521573,0.0,0.10547264813161739,0.10871020027040437,77125.0,0.8524302644880517,0.8524111279193985
model3_full,renter_percent,-0.020483802863140273,0.00038789366035070917,0.0,-0.021244060467259077,-0.01972354525902147,77125.0,0.8524302644880517,0.8524111279193985
model3_full,no_vehicle_percent,0.020291613055873063,0.0008616198537177437,1.2394564675213192e-122,0.018602869174221617,0.02198035693752451,77125.0,0.8524302644880517,0.8524111279193985
model3_full,OBESITY_CrudePrev,0.10029875305992027,0.0016648806148366912,0.0,0.09703564701628145,0.10356185910355908,77125.0,0.8524302644880517,0.8524111279193985
model3_full,LPA_CrudePrev,0.3682089907947513,0.0019704330613743476,0.0,0.36434701296051053,0.372070968628992,77125.0,0.8524302644880517,0.8524111279193985
model3_full,ACCESS2_CrudePrev,-0.033099560059709154,0.001707668786470785,1.0762476720731184e-83,-0.03644652937871511,-0.029752590740703196,77125.0,0.8524302644880517,0.8524111279193985
model4_state_fixed_effects,Intercept,-0.9891214730636051,0.07556217498564374,3.7478397737020535e-39,-1.1372206146289803,-0.8410223314982299,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.AR],-3.009487425250901,0.06732255857181815,0.0,-3.141437215398753,-2.8775376351030495,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.AZ],0.16196794684075957,0.06652813386055254,0.014909156379982594,0.03157520051541693,0.29236069316610225,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.CA],-0.5117131756492338,0.05228947135794092,1.2910520305739876e-22,-0.6141986562814367,-0.4092276950170309,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.CO],-0.09524302906179616,0.05841810990170649,0.1030237000318812,-0.2097404205140436,0.01925436239045128,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.CT],5.529007779004816e-13,4.004859294143906e-14,2.35317518949931e-43,4.74406978103756e-13,6.313945776972072e-13,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.DC],0.02804058965129274,0.096274704140721,0.7708555011004694,-0.16065436308676964,0.21673554238935513,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.DE],-1.5974188604869648,0.08174327747479264,4.83496381172296e-85,-1.7576327403158225,-1.437204980658107,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.FL],0.38590260823021366,0.05341072264363116,5.004024677757797e-13,0.28121951546043866,0.49058570099998866,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.GA],0.2559839238541782,0.055537792294665635,4.0425174267989614e-06,0.1471318511757674,0.3648359965325889,77125.0,0.8947460611421227,0.8946709470672394
model4_state_fixed_effects,C(StateAbbr)[T.IA],-2.2559287996139883,0.05898277082656356,0.0,-2.371532906142433,-2.1403246930855437,77125.0,0.8947460611421227,0.8946709470672394
