model,term,estimate,std_error,p_value,ci_lower,ci_upper,n,r_squared,adjusted_r_squared
95F_threshold,Intercept,-1.1671599204407175,0.07647260298683335,1.3602542955954614e-52,-1.317043468098941,-1.017276372782494,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.AR],-2.9539255924133085,0.06752324055227368,0.0,-3.0862687120151993,-2.821582472811418,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.AZ],0.7907535610848893,0.07519041386456288,7.237878095018523e-26,0.6433830579276849,0.9381240642420936,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.CA],-0.31682173959173704,0.05353799065874467,3.264757796685899e-09,-0.42175427308751845,-0.21188920609595563,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.CO],0.015053023256840537,0.058427790483950644,0.7966888866174924,-0.09946334178795482,0.1295693883016359,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.CT],-8.646875672624571e-13,1.2570936446821234e-13,6.050056022851766e-12,-1.1110733941395724e-12,-6.183017403853418e-13,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.DC],-0.0006098775800551624,0.09582405792417113,0.994921853338059,-0.18842157996391054,0.18720182480380024,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.DE],-1.664823832246344,0.08153157576834452,1.124938160540275e-92,-1.824622784355098,-1.50502488013759,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.FL],0.39469103470138567,0.052063955954537104,3.4319697541092484e-14,0.29264755613781324,0.4967345132649581,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.GA],0.2470097572473129,0.05566462094951248,9.102489608389664e-06,0.13790910497319464,0.35611040952143114,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.IA],-2.323408654543887,0.05816547899806895,0.0,-2.437410898523623,-2.2094064105641507,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.ID],-1.1000775900462443,0.0664811723514931,1.6770988492599134e-61,-1.2303782935051708,-0.9697768865873178,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.IL],-0.47090346541737726,0.053082708767897085,7.24091403765569e-19,-0.5749436628042841,-0.3668632680304704,77125.0,0.8949608169450987,0.8948858561298809
95F_threshold,C(StateAbbr)[T.IN],-0.273264929578695,0.0601006343689958,5.4470443861886685e-06,-0.39106000838993693,-0.15546985076745312,77125.0,0.8949608169450987,0.8948858561298809
