,count,mean,std,min,25%,50%,75%,max,missing_n,missing_percent
DIABETES_CrudePrev,77998.0,12.450852585963743,4.007799776334079,0.8,9.8,11.9,14.5,50.8,0,0.0
NO_AC_PE,77998.0,7.022845457575835,13.085766182515489,0.0,0.5,1.6,6.2,87.9,0,0.0
hot_days_90f,77125.0,45.95052781899466,42.83660446899863,0.0,11.023705823698258,29.825496704250604,75.69112683723462,207.02060252672496,873,1.119259468191492
hot_days_95f,77125.0,17.009182285791837,29.104108783384763,0.0,0.991248437220932,3.964192139737992,17.733019262981568,164.45251717994415,873,1.119259468191492
summer_tmax_c,77125.0,30.4478039729707,3.497334197663219,16.54603519592722,27.971978311953336,30.162761991587587,32.75446785195815,43.32084029004569,873,1.119259468191492
poverty_percent,77998.0,13.489133578825202,10.916338791645751,0.0,5.719802436324503,10.482438624945996,18.074136657995094,100.0,0,0.0
age65_percent,77998.0,17.582850337934097,9.031761576775018,0.0,11.860914278709592,16.513523580695175,21.594406560497404,100.0,0,0.0
renter_percent,77998.0,35.21780284588988,23.964773780410475,0.0,16.045000358783007,29.608565444713633,50.39968102073365,100.0,0,0.0
no_vehicle_percent,77998.0,8.474456199953945,11.831015187666742,0.0,1.9759533386324328,4.657249451769999,9.855320627357553,100.0,0,0.0
median_household_income,77651.0,84546.87278979021,40786.3608741708,2499.0,56526.0,75595.0,102962.0,250001.0,347,0.44488320213338806
OBESITY_CrudePrev,77998.0,34.0114669606913,7.33513208980316,11.6,28.9,34.1,38.9,64.3,0,0.0
LPA_CrudePrev,77998.0,26.105939895894767,8.244682515085348,6.7,20.0,25.1,31.1,75.5,0,0.0
ACCESS2_CrudePrev,77998.0,11.350089745890921,7.063073035862097,1.7,6.7,9.4,13.8,59.0,0,0.0
DISABILITY_CrudePrev,77998.0,31.464232416215804,7.709439886190459,10.7,25.8,30.8,36.5,76.6,0,0.0
TotalPopulation,77998.0,3989.8017769686403,1677.6346124825175,69.0,2789.0,3801.0,4967.0,37892.0,0,0.0
