GEOID,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,DIABETES_CrudePrev,OBESITY_CrudePrev,LPA_CrudePrev,ACCESS2_CrudePrev,DISABILITY_CrudePrev,FOODINSECU_CrudePrev,HOUSINSECU_CrudePrev,SHUTUTILITY_CrudePrev,HSE_OCC_E,NO_AC_E,NO_AC_PE,NO_AC_PM,AC_PE,NAME,acs_total_population,poverty_percent,age65_percent,renter_percent,no_vehicle_percent,median_household_income,hot_days_90f,hot_days_95f,summer_tmax_c,NO_AC_PE_centered,hot_days_90f_centered,hot_days_95f_centered,heat90_ac_interaction,heat95_ac_interaction,z_DIABETES_CrudePrev,z_NO_AC_PE,z_hot_days_90f,z_poverty_percent,priority_index,priority_quartile
06075980501,CA,California,San Francisco,6075,6075980501,125.0,50.8,14.4,75.5,20.7,76.6,54.2,14.3,8.8,123,79.0,64.2,1.6,35.8,Census Tract 9805.01; San Francisco County; California,155.0,76.77419354838709,94.19354838709677,100.0,93.4959349593496,13569.0,4.377870563674322,1.554488517745303,22.263942292438426,57.17715454242417,-41.57265725532034,-15.454693768046534,-2377.0062486266825,-883.6554139814364,9.55405853118334,4.34689751859819,-0.970500049853949,5.792894577905626,4.680837644458302,Critical
06037980014,CA,California,Los Angeles,6037,6037980014,150.0,37.1,45.4,54.6,19.0,63.5,52.5,31.6,24.8,10,4.0,40.0,3.3,60.0,Census Tract 9800.14; Los Angeles County; California,40.0,100.0,55.00000000000001,60.0,0.0,,5.174989068648886,1.7118495846086577,25.08310413735894,32.97715454242417,-40.775538750345774,-15.29733270118318,-1344.6612429207578,-504.46250457379665,6.138879015018665,2.506431150123086,-0.9518915797706874,7.919881748028994,3.9033250833500146,Critical
35061980100,NM,New Mexico,Valencia,35061,35061980100,76.0,28.5,49.4,53.2,31.6,60.1,58.7,37.7,34.8,21,5.0,23.8,0.1,76.2,Census Tract 9801; Valencia County; New Mexico,21.0,100.0,76.19047619047619,0.0,0.0,,79.99044551798175,37.75061728395063,33.83748525147533,16.777154542424164,34.0399176989871,20.741434998158795,571.092959847306,347.98226039575536,3.995043698302152,1.2743834158546283,0.7946507152766499,7.919881748028994,3.4959898943656063,Critical
06037206303,CA,California,Los Angeles,6037,6037206303,2858.0,33.5,49.2,52.2,20.8,56.7,60.3,43.5,32.5,550,240.0,43.6,3.1,56.4,Census Tract 2063.03; Los Angeles County; California,2430.0,74.30120984564039,16.090534979423868,98.72727272727273,88.18181818181819,11542.0,28.2962962962963,6.69925925925926,28.669151009453667,36.57715454242417,-17.654231522698357,-10.309923026532577,-645.7415547334741,-377.10764786197956,5.2414595801140775,2.7802195355160766,-0.4121322451842846,5.566422157297767,3.293992256935909,Critical
06037206301,CA,California,Los Angeles,6037,6037206301,2074.0,34.4,49.2,51.2,18.4,57.1,59.1,42.4,32.5,1220,476.0,39.0,4.4,61.0,Census Tract 2063.01; Los Angeles County; California,1991.0,73.98292315419387,21.99899547965846,97.1311475409836,82.62295081967214,13831.0,25.8,6.0,28.489978790283203,31.977154542424167,-20.150527818994657,-11.009182285791837,-644.3565421794095,-352.0423233384841,5.465814438840224,2.4303788208472556,-0.4704074635598371,5.537273903154766,3.240764924820602,Critical
48201331400,TX,Texas,Harris,48201,48201331400,2538.0,33.9,59.2,59.3,35.2,63.5,,,,962,24.0,2.5,0.6,97.5,Census Tract 3314; Harris County; Texas,3281.0,77.50685766534593,19.04907040536422,99.27234927234927,45.84199584199584,21580.0,113.38831460674156,48.80584269662921,34.63326298574383,-4.522845457575835,67.4377867877469,31.796660410837376,-305.01068764192877,-143.81138110523722,5.3411728506590315,-0.3455311977205664,1.574313016307672,5.859990942461485,3.1074864029269054,Critical
48141001800,TX,Texas,El Paso,48141,48141001800,1156.0,38.1,47.7,66.6,58.2,64.0,,,,397,67.0,16.9,1.4,83.1,Census Tract 18; El Paso County; Texas,918.0,49.673202614379086,18.736383442265794,93.70277078085643,68.76574307304786,12899.0,128.0096153846154,81.96923076923079,36.58559590119582,9.877154542424163,82.05908756562073,64.96004848343895,810.510289495953,641.6204379542929,6.38816219138105,0.7496223438513961,1.9156424879050193,3.311023382847007,3.0911126014961177,Critical
06037980008,CA,California,Los Angeles,6037,6037980008,465.0,28.5,47.7,48.8,19.1,54.3,56.4,40.6,31.9,18,3.0,16.7,12.8,83.3,Census Tract 9800.08; Los Angeles County; California,73.0,87.67123287671232,6.8493150684931505,100.0,0.0,,66.48624754420433,29.83614931237721,31.332748840272075,9.677154542424164,20.535719725209674,12.826967026585372,198.7273334207623,124.12854222684561,3.995043698302152,0.7344118779962301,0.4793996422865694,6.790830339230631,2.9999213894538954,Critical
13215010606,GA,Georgia,Muscogee,13215,13215010606,1715.0,28.3,59.0,57.1,38.8,56.7,65.5,46.6,43.2,7,0.0,0.0,0.1,100.0,Census Tract 106.06; Muscogee County; Georgia,1815.0,100.0,8.650137741046832,100.0,100.0,,73.45114503816795,16.47811704834606,32.83897589181216,-7.022845457575835,27.500617219173293,-0.5310652374457767,-193.13258471820296,3.7295890904725053,3.945187063029675,-0.5356620209101433,0.641992890141908,7.919881748028994,2.9928499200726084,Critical
48141002000,TX,Texas,El Paso,48141,48141002000,2312.0,35.3,46.6,63.4,54.4,61.3,,,,801,81.0,10.1,1.7,89.9,Census Tract 20; El Paso County; Texas,1847.0,57.66107200866269,25.609095831077422,87.26591760299625,38.3270911360799,12798.0,129.10914285714284,83.00000000000001,36.63743974958148,3.0771545424241644,83.15861503814818,65.99081771420818,255.8919100063401,203.06394448756072,5.69016929756637,0.23246650477574718,1.9413105961606474,4.042541392938858,2.976621947860406,Critical
