model,term,estimate,std_error,p_value,ci_lower,ci_upper,n,r_squared,adjusted_r_squared
Tennessee,Intercept,-5.759497890766963,0.3967198228936313,9.3465945253723e-48,-6.537054455591589,-4.981941325942337,1676.0,0.9119236285199721,0.9115009464732773
Tennessee,NO_AC_PE_centered,-0.24632152656714368,0.04603900107781178,8.781846367024432e-08,-0.3365563105638555,-0.15608674257043187,1676.0,0.9119236285199721,0.9115009464732773
Tennessee,hot_days_90f_centered,0.008421125297882248,0.0072492672478673414,0.2453768785675845,-0.005787177422243538,0.022629428018008033,1676.0,0.9119236285199721,0.9115009464732773
Tennessee,heat90_ac_interaction,-0.0065210306692824495,0.001028835425567291,2.3236823581812543e-10,-0.00853751104941328,-0.00450455028915162,1676.0,0.9119236285199721,0.9115009464732773
Tennessee,poverty_percent,-0.004068030237117642,0.01362275655435738,0.7652298537487272,-0.030768142453815067,0.022632081979579784,1676.0,0.9119236285199721,0.9115009464732773
Tennessee,age65_percent,0.11177142528397974,0.006427119424563778,9.722121962917614e-68,0.09917450268749693,0.12436834788046254,1676.0,0.9119236285199721,0.9115009464732773
Tennessee,OBESITY_CrudePrev,0.11129067396487301,0.013584559398552081,2.5598501355641186e-16,0.08466542679786583,0.13791592113188017,1676.0,0.9119236285199721,0.9115009464732773
Tennessee,LPA_CrudePrev,0.6187758387684286,0.01901802981555177,3.274196907667796e-232,0.5815011852730382,0.656050492263819,1676.0,0.9119236285199721,0.9115009464732773
Tennessee,ACCESS2_CrudePrev,-0.3413930740335267,0.021566909649827184,1.9480894394552875e-56,-0.3836634402050173,-0.2991227078620361,1676.0,0.9119236285199721,0.9115009464732773
Shelby County,Intercept,-10.414230853560907,1.2915700407917237,7.430239048982846e-16,-12.945661617023614,-7.8828000900982005,243.0,0.9414937373621072,0.9402594280237551
Shelby County,NO_AC_PE,0.1140014489197423,0.16105197444687247,0.4790352934968526,-0.20165462063519285,0.4296575184746774,243.0,0.9414937373621072,0.9402594280237551
Shelby County,poverty_percent,0.006295113799675907,0.018138008137587154,0.7285405815762999,-0.029254728901289336,0.04184495650064115,243.0,0.9414937373621072,0.9402594280237551
Shelby County,age65_percent,0.23280831222451023,0.02075039618245204,3.2724975227043117e-29,0.1921382830419668,0.2734783414070537,243.0,0.9414937373621072,0.9402594280237551
Shelby County,OBESITY_CrudePrev,0.36833239144244156,0.06387751429230831,8.106477192387175e-09,0.24313476400757472,0.4935300188773084,243.0,0.9414937373621072,0.9402594280237551
Shelby County,LPA_CrudePrev,0.29508472849222206,0.05771021595153177,3.167218509152333e-07,0.18197478368719086,0.40819467329725323,243.0,0.9414937373621072,0.9402594280237551
